Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist
LaLiga ,35,4/29/18,Away,FC Barcelona,Deportivo de La Coruña,2:4,SS,82',2:3,Right-footed shot,Luis Suárez
LaLiga ,35,4/29/18,Away,FC Barcelona,Deportivo de La Coruña,2:4,SS,85',2:4,Left-footed shot,Luis Suárez
LaLiga ,36,5/6/18,Home,FC Barcelona,Real Madrid,2:2,SS,52',2:1,Left-footed shot,Luis Suárez
LaLiga ,34,5/9/18,Home,FC Barcelona,Villarreal CF,5:1,CF,45',3:0,Left-footed shot,Andrés Iniesta
LaLiga ,1,8/18/18,Home,FC Barcelona,Deportivo Alavés,3:0,RW,64',1:0,Direct free kick,Not Applicable
LaLiga ,1,8/18/18,Home,FC Barcelona,Deportivo Alavés,3:0,RW,90'+2,3:0,Left-footed shot,Luis Suárez
LaLiga ,3,9/2/18,Home,FC Barcelona,SD Huesca,8:2,RW,16',1:1,Right-footed shot,Ivan Rakitic
LaLiga ,3,9/2/18,Home,FC Barcelona,SD Huesca,8:2,RW,61',6:2,Left-footed shot,Philippe Coutinho
UEFA Champions League ,Gruppenphase,9/18/18,Home,FC Barcelona,PSV Eindhoven,4:0,RW,31',1:0,Direct free kick,Not Applicable
UEFA Champions League ,Gruppenphase,9/18/18,Home,FC Barcelona,PSV Eindhoven,4:0,RW,77',3:0,Left-footed shot,Ivan Rakitic
UEFA Champions League ,Gruppenphase,9/18/18,Home,FC Barcelona,PSV Eindhoven,4:0,RW,87',4:0,Right-footed shot,Luis Suárez
LaLiga ,5,9/23/18,Home,FC Barcelona,Girona FC,2:2,RW,19',1:0,Left-footed shot,Arturo Vidal
UEFA Champions League ,Gruppenphase,10/3/18,Away,FC Barcelona,Tottenham Hotspur,2:4,RW,56',1:3,Left-footed shot,Jordi Alba
UEFA Champions League ,Gruppenphase,10/3/18,Away,FC Barcelona,Tottenham Hotspur,2:4,RW,90',2:4,Left-footed shot,Jordi Alba
LaLiga ,8,10/7/18,Away,FC Barcelona,Valencia CF,1:1,RW,23',1:1,Left-footed shot,Luis Suárez
LaLiga ,9,10/20/18,Home,FC Barcelona,Sevilla FC,4:2,RW,12',2:0,Left-footed shot,Luis Suárez
LaLiga ,12,11/11/18,Home,FC Barcelona,Real Betis Balompié,3:4,SS,68',1:2,Penalty,Not Applicable
LaLiga ,12,11/11/18,Home,FC Barcelona,Real Betis Balompié,3:4,SS,90'+4,3:4,Left-footed shot,Arturo Vidal
UEFA Champions League ,Gruppenphase,11/28/18,Away,FC Barcelona,PSV Eindhoven,1:2,CF,61',0:1,Left-footed shot,Ousmane Dembélé
LaLiga ,15,12/8/18,Away,FC Barcelona,RCD Espanyol Barcelona,0:4,RW,17',0:1,Direct free kick,Not Applicable
LaLiga ,15,12/8/18,Away,FC Barcelona,RCD Espanyol Barcelona,0:4,RW,65',0:4,Direct free kick,Not Applicable
LaLiga ,16,12/16/18,Away,FC Barcelona,Levante UD,0:5,SS,43',0:2,Right-footed shot,Sergio Busquets
LaLiga ,16,12/16/18,Away,FC Barcelona,Levante UD,0:5,SS,47',0:3,Left-footed shot,Not Applicable
LaLiga ,16,12/16/18,Away,FC Barcelona,Levante UD,0:5,SS,60',0:4,Left-footed shot,Arturo Vidal
LaLiga ,17,12/22/18,Home,FC Barcelona,Celta de Vigo,2:0,RW,45',2:0,Left-footed shot,Jordi Alba
LaLiga ,18,1/6/19,Away,FC Barcelona,Getafe CF,1:2,RW,20',0:1,Left-footed shot,Not Applicable
LaLiga ,19,1/13/19,Home,FC Barcelona,SD Eibar,3:0,RW,53',2:0,Left-footed shot,Luis Suárez
Copa del Rey ,Achtelfinale,1/17/19,Home,FC Barcelona,Levante UD,3:0,CF,54',3:0,Left-footed shot,Nélson Semedo
LaLiga ,20,1/20/19,Home,FC Barcelona,CD Leganés,3:1,SS,90'+2,3:1,Right-footed shot,Jordi Alba
LaLiga ,21,1/27/19,Away,FC Barcelona,Girona FC,0:2,RW,69',0:2,Left-footed shot,Jordi Alba
Copa del Rey ,Viertelfinale,1/30/19,Home,FC Barcelona,Sevilla FC,6:1,RW,90'+2,6:1,Left-footed shot,Jordi Alba
LaLiga ,22,2/2/19,Home,FC Barcelona,Valencia CF,2:2,RW,39',1:2,Penalty,Not Applicable
LaLiga ,22,2/2/19,Home,FC Barcelona,Valencia CF,2:2,RW,64',2:2,Left-footed shot,Arturo Vidal
LaLiga ,24,2/16/19,Home,FC Barcelona,Real Valladolid CF,1:0,RW,43',1:0,Penalty,Not Applicable
LaLiga ,25,2/23/19,Away,FC Barcelona,Sevilla FC,2:4,RW,26',1:1,Left-footed shot,Ivan Rakitic
LaLiga ,25,2/23/19,Away,FC Barcelona,Sevilla FC,2:4,RW,67',2:2,Right-footed shot,Ousmane Dembélé
LaLiga ,25,2/23/19,Away,FC Barcelona,Sevilla FC,2:4,RW,85',2:3,Left-footed shot,Not Applicable
LaLiga ,27,3/9/19,Home,FC Barcelona,Rayo Vallecano,3:1,RW,51',2:1,Penalty,Not Applicable
UEFA Champions League ,Achtelfinale,3/13/19,Home,FC Barcelona,Olympique Lyon,5:1,RW,18',1:0,Penalty,Not Applicable
UEFA Champions League ,Achtelfinale,3/13/19,Home,FC Barcelona,Olympique Lyon,5:1,RW,78',3:1,Right-footed shot,Sergio Busquets
LaLiga ,28,3/17/19,Away,FC Barcelona,Real Betis Balompié,1:4,SS,18',0:1,Direct free kick,Not Applicable
LaLiga ,28,3/17/19,Away,FC Barcelona,Real Betis Balompié,1:4,SS,45'+2,0:2,Left-footed shot,Luis Suárez
LaLiga ,28,3/17/19,Away,FC Barcelona,Real Betis Balompié,1:4,SS,85',1:4,Left-footed shot,Ivan Rakitic
LaLiga ,29,3/30/19,Home,FC Barcelona,RCD Espanyol Barcelona,2:0,RW,71',1:0,Direct free kick,Not Applicable
LaLiga ,29,3/30/19,Home,FC Barcelona,RCD Espanyol Barcelona,2:0,RW,89',2:0,Left-footed shot,Malcom
LaLiga ,30,4/2/19,Away,FC Barcelona,Villarreal CF,4:4,RW,90',4:3,Direct free kick,Not Applicable
LaLiga ,31,4/6/19,Home,FC Barcelona,Atlético de Madrid,2:0,SS,87',2:0,Left-footed shot,Not Applicable
UEFA Champions League ,Viertelfinale,4/16/19,Home,FC Barcelona,Manchester United,3:0,RW,16',1:0,Left-footed shot,Not Applicable
UEFA Champions League ,Viertelfinale,4/16/19,Home,FC Barcelona,Manchester United,3:0,RW,20',2:0,Right-footed shot,Not Applicable
LaLiga ,35,4/27/19,Home,FC Barcelona,Levante UD,1:0,RW,62',1:0,Left-footed shot,Arturo Vidal
UEFA Champions League ,Halbfinale,5/1/19,Home,FC Barcelona,Liverpool FC,3:0,RW,75',2:0,Left-footed shot,Luis Suárez
UEFA Champions League ,Halbfinale,5/1/19,Home,FC Barcelona,Liverpool FC,3:0,RW,82',3:0,Direct free kick,Not Applicable
LaLiga ,38,5/19/19,Away,FC Barcelona,SD Eibar,2:2,CF,31',1:1,Left-footed shot,Arturo Vidal
LaLiga ,38,5/19/19,Away,FC Barcelona,SD Eibar,2:2,CF,32',1:2,Left-footed shot,Ivan Rakitic
Copa del Rey ,Finale,5/25/19,Home,FC Barcelona,Valencia CF,1:2,CF,73',1:2,Left-footed shot,Clément Lenglet
LaLiga ,8,10/6/19,Home,FC Barcelona,Sevilla FC,4:0,RW,78',4:0,Direct free kick,Not Applicable
LaLiga ,9,10/19/19,Away,FC Barcelona,SD Eibar,0:3,RW,58',0:2,Left-footed shot,Antoine Griezmann
UEFA Champions League ,Gruppenphase,10/23/19,Away,FC Barcelona,SK Slavia Prague,1:2,RW,3',0:1,Left-footed shot,Arthur Melo
LaLiga ,11,10/29/19,Home,FC Barcelona,Real Valladolid CF,5:1,RW,34',3:1,Direct free kick,Not Applicable
LaLiga ,11,10/29/19,Home,FC Barcelona,Real Valladolid CF,5:1,RW,75',4:1,Left-footed shot,Ivan Rakitic
LaLiga ,12,11/2/19,Away,FC Barcelona,Levante UD,3:1,RW,38',0:1,Penalty,Not Applicable
LaLiga ,13,11/9/19,Home,FC Barcelona,Celta de Vigo,4:1,RW,23',1:0,Penalty,Not Applicable
LaLiga ,13,11/9/19,Home,FC Barcelona,Celta de Vigo,4:1,RW,45'+1,2:1,Direct free kick,Not Applicable
LaLiga ,13,11/9/19,Home,FC Barcelona,Celta de Vigo,4:1,RW,48',3:1,Direct free kick,Not Applicable
UEFA Champions League ,Gruppenphase,11/27/19,Home,FC Barcelona,Borussia Dortmund,3:1,RW,33',2:0,Left-footed shot,Luis Suárez
LaLiga ,15,12/1/19,Away,FC Barcelona,Atlético de Madrid,0:1,RW,86',0:1,Left-footed shot,Luis Suárez
LaLiga ,16,12/7/19,Home,FC Barcelona,RCD Mallorca,5:2,RW,17',2:0,Left-footed shot,Antoine Griezmann
LaLiga ,16,12/7/19,Home,FC Barcelona,RCD Mallorca,5:2,RW,41',3:1,Left-footed shot,Ivan Rakitic
LaLiga ,16,12/7/19,Home,FC Barcelona,RCD Mallorca,5:2,RW,83',5:2,Left-footed shot,Luis Suárez
LaLiga ,18,12/21/19,Home,FC Barcelona,Deportivo Alavés,4:1,RW,69',3:1,Left-footed shot,Luis Suárez
Supercopa ,Halbfinale,1/9/20,Home,FC Barcelona,Atlético de Madrid,2:3,RW,51',1:1,Right-footed shot,Luis Suárez
LaLiga ,20,1/19/20,Home,FC Barcelona,Granada CF,1:0,CF,76',1:0,Right-footed shot,Arturo Vidal
Copa del Rey ,Achtelfinale,1/30/20,Home,FC Barcelona,CD Leganés,5:0,RW,59',3:0,Left-footed shot,Frenkie de Jong
Copa del Rey ,Achtelfinale,1/30/20,Home,FC Barcelona,CD Leganés,5:0,RW,89',5:0,Left-footed shot,Ivan Rakitic
LaLiga ,25,2/22/20,Home,FC Barcelona,SD Eibar,5:0,SS,14',1:0,Left-footed shot,Ivan Rakitic
LaLiga ,25,2/22/20,Home,FC Barcelona,SD Eibar,5:0,SS,37',2:0,Left-footed shot,Arturo Vidal
LaLiga ,25,2/22/20,Home,FC Barcelona,SD Eibar,5:0,SS,40',3:0,Left-footed shot,Not Applicable
LaLiga ,25,2/22/20,Home,FC Barcelona,SD Eibar,5:0,SS,87',4:0,Left-footed shot,Not Applicable
LaLiga ,27,3/7/20,Home,FC Barcelona,Real Sociedad,1:0,CF,81',1:0,Penalty,Not Applicable
LaLiga ,28,6/13/20,Away,FC Barcelona,RCD Mallorca,0:4,RW,90'+3,0:4,Right-footed shot,Luis Suárez
LaLiga ,29,6/16/20,Home,FC Barcelona,CD Leganés,2:0,RW,69',2:0,Penalty,Not Applicable
LaLiga ,33,6/30/20,Home,FC Barcelona,Atlético de Madrid,2:2,SS,50',2:1,Penalty,Not Applicable
LaLiga ,37,7/16/20,Home,FC Barcelona,CA Osasuna,1:2,RW,62',1:1,Direct free kick,Not Applicable
LaLiga ,38,7/19/20,Away,FC Barcelona,Deportivo Alavés,0:5,RW,34',0:2,Left-footed shot,Riqui Puig
LaLiga ,38,7/19/20,Away,FC Barcelona,Deportivo Alavés,0:5,RW,75',0:5,Left-footed shot,Jordi Alba
UEFA Champions League ,Achtelfinale,8/8/20,Home,FC Barcelona,SSC Napoli,3:1,SS,23',2:0,Left-footed shot,Not Applicable
LaLiga ,3,9/27/20,Home,FC Barcelona,Villarreal CF,4:0,CF,35',3:0,Penalty,Not Applicable
UEFA Champions League ,Gruppenphase,10/20/20,Home,FC Barcelona,Ferencvárosi TC,5:1,CF,27',1:0,Penalty,Not Applicable
UEFA Champions League ,Gruppenphase,10/28/20,Away,FC Barcelona,Juventus FC,0:2,CF,90'+1,0:2,Penalty,Not Applicable
UEFA Champions League ,Gruppenphase,11/4/20,Home,FC Barcelona,Dynamo Kyiv,2:1,RW,5',1:0,Penalty,Not Applicable
LaLiga ,9,11/7/20,Home,FC Barcelona,Real Betis Balompié,5:2,CF,61',3:1,Penalty,Not Applicable
LaLiga ,9,11/7/20,Home,FC Barcelona,Real Betis Balompié,5:2,CF,82',4:2,Left-footed shot,Sergi Roberto
LaLiga ,11,11/29/20,Home,FC Barcelona,CA Osasuna,4:0,RW,73',4:0,Left-footed shot,Trincão
LaLiga ,13,12/13/20,Home,FC Barcelona,Levante UD,1:0,CF,76',1:0,Left-footed shot,Frenkie de Jong
LaLiga ,14,12/19/20,Home,FC Barcelona,Valencia CF,2:2,CF,45'+4,1:1,Header,Not Applicable
LaLiga ,15,12/22/20,Away,FC Barcelona,Real Valladolid CF,0:3,AM,65',0:3,Left-footed shot,Pedri
LaLiga ,2,1/6/21,Away,FC Barcelona,Athletic Bilbao,2:3,CF,38',1:2,Left-footed shot,Pedri
LaLiga ,2,1/6/21,Away,FC Barcelona,Athletic Bilbao,2:3,CF,62',1:3,Left-footed shot,Antoine Griezmann
LaLiga ,18,1/9/21,Away,FC Barcelona,Granada CF,0:4,CF,35',0:2,Left-footed shot,Antoine Griezmann
LaLiga ,18,1/9/21,Away,FC Barcelona,Granada CF,0:4,CF,42',0:3,Direct free kick,Not Applicable
Copa del Rey ,Achtelfinale,1/27/21,Away,FC Barcelona,Rayo Vallecano,1:2,CF,69',1:1,Left-footed shot,Antoine Griezmann
LaLiga ,21,1/31/21,Home,FC Barcelona,Athletic Bilbao,2:1,CF,20',1:0,Direct free kick,Not Applicable
LaLiga ,22,2/7/21,Away,FC Barcelona,Real Betis Balompié,2:3,CF,59',1:1,Left-footed shot,Ousmane Dembélé
LaLiga ,23,2/13/21,Home,FC Barcelona,Deportivo Alavés,5:1,CF,45'+1,2:0,Left-footed shot,Sergio Busquets
LaLiga ,23,2/13/21,Home,FC Barcelona,Deportivo Alavés,5:1,CF,75',4:1,Left-footed shot,Antoine Griezmann
UEFA Champions League ,Achtelfinale,2/16/21,Home,FC Barcelona,Paris Saint-Germain,1:4,CF,27',1:0,Penalty,Not Applicable
LaLiga ,24,2/21/21,Home,FC Barcelona,Cádiz CF,1:1,CF,32',1:0,Penalty,Not Applicable
LaLiga ,1,2/24/21,Home,FC Barcelona,Elche CF,3:0,CF,48',1:0,Left-footed shot,Martin Braithwaite
LaLiga ,1,2/24/21,Home,FC Barcelona,Elche CF,3:0,CF,68',2:0,Left-footed shot,Frenkie de Jong
LaLiga ,25,2/27/21,Away,FC Barcelona,Sevilla FC,0:2,CF,85',0:2,Right-footed shot,Ilaix Moriba
UEFA Champions League ,Achtelfinale,3/10/21,Away,FC Barcelona,Paris Saint-Germain,1:1,SS,37',1:1,Long distance kick,Pedri
LaLiga ,27,3/15/21,Home,FC Barcelona,SD Huesca,4:1,SS,13',1:0,Left-footed shot,Sergio Busquets
LaLiga ,27,3/15/21,Home,FC Barcelona,SD Huesca,4:1,SS,90',4:1,Left-footed shot,Trincão
LaLiga ,28,3/21/21,Away,FC Barcelona,Real Sociedad,1:6,SS,56',0:4,Left-footed shot,Sergio Busquets
LaLiga ,28,3/21/21,Away,FC Barcelona,Real Sociedad,1:6,SS,89',1:6,Left-footed shot,Jordi Alba
Copa del Rey ,Finale,4/17/21,Away,FC Barcelona,Athletic Bilbao,0:4,CF,68',0:3,Left-footed shot,Frenkie de Jong
Copa del Rey ,Finale,4/17/21,Away,FC Barcelona,Athletic Bilbao,0:4,CF,72',0:4,Left-footed shot,Jordi Alba
LaLiga ,31,4/22/21,Home,FC Barcelona,Getafe CF,5:2,CF,8',1:0,Left-footed shot,Sergio Busquets
LaLiga ,31,4/22/21,Home,FC Barcelona,Getafe CF,5:2,CF,33',3:1,Left-footed shot,Not Applicable
LaLiga ,33,4/29/21,Home,FC Barcelona,Granada CF,1:2,CF,23',1:0,Left-footed shot,Antoine Griezmann
LaLiga ,34,5/2/21,Away,FC Barcelona,Valencia CF,2:3,CF,57',1:1,Left-footed shot,Not Applicable
LaLiga ,34,5/2/21,Away,FC Barcelona,Valencia CF,2:3,CF,69',1:3,Direct free kick,Not Applicable
LaLiga ,36,5/11/21,Away,FC Barcelona,Levante UD,3:3,SS,25',0:1,Left-footed shot,Not Applicable
LaLiga ,37,5/16/21,Home,FC Barcelona,Celta de Vigo,1:2,SS,28',1:0,Header,Sergio Busquets
UEFA Champions League ,Gruppenphase,9/28/21,Home,Paris Saint-Germain,Manchester City,2:0,RW,74',2:0,Left-footed shot,Kylian Mbappé
UEFA Champions League ,Gruppenphase,10/19/21,Home,Paris Saint-Germain,RB Leipzig,3:2,RW,67',2:2,Left-footed shot,Kylian Mbappé
UEFA Champions League ,Gruppenphase,10/19/21,Home,Paris Saint-Germain,RB Leipzig,3:2,RW,74',3:2,Penalty,Not Applicable
Ligue 1 ,14,11/20/21,Home,Paris Saint-Germain,FC Nantes,3:1,RW,87',3:1,Left-footed shot,Kylian Mbappé
UEFA Champions League ,Gruppenphase,12/7/21,Home,Paris Saint-Germain,Club Brugge KV,4:1,CF,38',3:0,Left-footed shot,Kylian Mbappé
UEFA Champions League ,Gruppenphase,12/7/21,Home,Paris Saint-Germain,Club Brugge KV,4:1,CF,76',4:1,Penalty,Not Applicable
Ligue 1 ,23,2/6/22,Away,Paris Saint-Germain,LOSC Lille,1:5,CF,38',1:3,Left-footed shot,Not Applicable
Ligue 1 ,30,4/3/22,Home,Paris Saint-Germain,FC Lorient,5:1,RW,73',4:1,Left-footed shot,Kylian Mbappé
Ligue 1 ,34,4/23/22,Home,Paris Saint-Germain,RC Lens,1:1,RW,68',1:0,Left-footed shot,Neymar
Ligue 1 ,37,5/14/22,Away,Paris Saint-Germain,Montpellier HSC,0:4,CF,6',0:1,Left-footed shot,Kylian Mbappé
Ligue 1 ,37,5/14/22,Away,Paris Saint-Germain,Montpellier HSC,0:4,CF,20',0:2,Left-footed shot,Kylian Mbappé
Trophée des Champions ,Finale,7/31/22,Home,Paris Saint-Germain,FC Nantes,4:0,CF,22',1:0,Right-footed shot,Not Applicable
Ligue 1 ,1,8/6/22,Away,Paris Saint-Germain,Clermont Foot 63,0:5,CF,80',0:4,Left-footed shot,Neymar
Ligue 1 ,1,8/6/22,Away,Paris Saint-Germain,Clermont Foot 63,0:5,CF,86',0:5,Left-footed shot,Leandro Paredes
Ligue 1 ,3,8/21/22,Away,Paris Saint-Germain,LOSC Lille,1:7,RW,27',0:2,Right-footed shot,Nuno Mendes
UEFA Champions League ,Gruppenphase,9/14/22,Away,Paris Saint-Germain,Maccabi Haifa,1:3,RW,37',1:1,Left-footed shot,Not Applicable
Ligue 1 ,8,9/18/22,Away,Paris Saint-Germain,Olympique Lyon,0:1,RW,5',0:1,Left-footed shot,Neymar
Ligue 1 ,9,10/1/22,Home,Paris Saint-Germain,OGC Nice,2:1,AM,28',1:0,Direct free kick,Not Applicable
UEFA Champions League ,Gruppenphase,10/5/22,Away,Paris Saint-Germain,SL Benfica,1:1,RW,22',0:1,Left-footed shot,Neymar
Ligue 1 ,12,10/21/22,Away,Paris Saint-Germain,AC Ajaccio,0:3,CF,78',0:2,Left-footed shot,Kylian Mbappé
UEFA Champions League ,Gruppenphase,10/25/22,Home,Paris Saint-Germain,Maccabi Haifa,7:2,SS,19',1:0,Left-footed shot,Kylian Mbappé
UEFA Champions League ,Gruppenphase,10/25/22,Home,Paris Saint-Germain,Maccabi Haifa,7:2,SS,45',4:1,Left-footed shot,Kylian Mbappé
Ligue 1 ,13,10/29/22,Home,Paris Saint-Germain,ESTAC Troyes,4:3,RW,55',2:2,Left-footed shot,Sergio Ramos
Ligue 1 ,18,1/11/23,Home,Paris Saint-Germain,Angers SCO,2:0,AM,72',2:0,Right-footed shot,Nordi Mukiele
Ligue 1 ,21,2/1/23,Away,Paris Saint-Germain,Montpellier HSC,1:3,SS,72',0:2,Left-footed shot,Fabián Ruiz
Ligue 1 ,22,2/4/23,Home,Paris Saint-Germain,FC Toulouse,2:1,SS,58',2:1,Left-footed shot,Achraf Hakimi
Ligue 1 ,24,2/19/23,Home,Paris Saint-Germain,LOSC Lille,4:3,CF,90'+5,4:3,Direct free kick,Not Applicable
Ligue 1 ,25,2/26/23,Away,Paris Saint-Germain,Olympique Marseille,0:3,CF,29',0:2,Right-footed shot,Kylian Mbappé
Ligue 1 ,26,3/4/23,Home,Paris Saint-Germain,FC Nantes,4:2,CF,12',1:0,Left-footed shot,Not Applicable
Ligue 1 ,30,4/8/23,Away,Paris Saint-Germain,OGC Nice,0:2,CF,26',0:1,Left-footed shot,Nuno Mendes
Ligue 1 ,31,4/15/23,Home,Paris Saint-Germain,RC Lens,3:1,CF,40',3:0,Left-footed shot,Kylian Mbappé
Ligue 1 ,37,5/27/23,Away,Paris Saint-Germain,RC Strasbourg Alsace,1:1,CF,59',0:1,Left-footed shot,Kylian Mbappé
Leagues Cup ,Gruppenphase,7/22/23,Away,Inter Miami CF,CD Cruz Azul,1:2,RW,90'+4,1:2,Direct free kick,Not Applicable
Leagues Cup ,Gruppenphase,7/26/23,Home,Inter Miami CF,Atlanta United FC,4:0,RW,8',1:0,Right-footed shot,Not Applicable
Leagues Cup ,Gruppenphase,7/26/23,Home,Inter Miami CF,Atlanta United FC,4:0,RW,22',2:0,Right-footed shot,Robert Taylor
Leagues Cup ,1.Runde,8/3/23,Home,Inter Miami CF,Orlando City SC,3:1,RW,7',1:0,Left-footed shot,Robert Taylor
Leagues Cup ,1.Runde,8/3/23,Home,Inter Miami CF,Orlando City SC,3:1,RW,72',3:1,Right-footed shot,Josef Martínez
Leagues Cup ,Achtelfinale,8/7/23,Away,Inter Miami CF,FC Dallas,7:9,RW,6',0:1,Left-footed shot,Jordi Alba
Leagues Cup ,Achtelfinale,8/7/23,Away,Inter Miami CF,FC Dallas,7:9,RW,85',4:4,Direct free kick,Not Applicable
Leagues Cup ,Viertelfinale,8/12/23,Home,Inter Miami CF,Charlotte FC,4:0,RW,86',4:0,Left-footed shot,Leonardo Campana
Leagues Cup ,Halbfinale,8/16/23,Away,Inter Miami CF,Philadelphia Union,1:4,RW,20',0:2,Left-footed shot,Josef Martínez
Leagues Cup ,Finale,8/20/23,Away,Inter Miami CF,Nashville SC,10:11,RW,23',0:1,Left-footed shot,Not Applicable
MLS ,28,8/27/23,Away,Inter Miami CF,New York Red Bulls,0:2,CF,89',0:2,Left-footed shot,Benja Cremaschi
MLS ,1,2/26/24,Away,Inter Miami CF,Los Angeles Galaxy,1:1,RW,90'+2,1:1,Left-footed shot,Jordi Alba
MLS ,2,3/2/24,Home,Inter Miami CF,Orlando City SC,5:0,RW,57',4:0,Chest,Not Applicable
MLS ,2,3/2/24,Home,Inter Miami CF,Orlando City SC,5:0,RW,62',5:0,Header,Luis Suárez
CONCACAF Champions Cup ,Achtelfinale,3/8/24,Away,Inter Miami CF,Nashville SC,2:2,CF,52',2:1,Not reported,Luis Suárez
CONCACAF Champions Cup ,Achtelfinale,3/14/24,Home,Inter Miami CF,Nashville SC,3:1,CF,23',2:0,Not reported,Diego Gómez
MLS ,7,4/7/24,Home,Inter Miami CF,Colorado Rapids,2:2,CF,57',1:1,Left-footed shot,Franco Negri
MLS ,8,4/14/24,Away,Inter Miami CF,Sporting Kansas City,2:3,RW,51',1:2,Left-footed shot,David Ruíz
MLS ,9,4/21/24,Home,Inter Miami CF,Nashville SC,3:1,RW,11',1:1,Left-footed shot,Luis Suárez
MLS ,9,4/21/24,Home,Inter Miami CF,Nashville SC,3:1,RW,81',3:1,Penalty,Not Applicable
MLS ,10,4/28/24,Away,Inter Miami CF,New England Revolution,1:4,RW,32',1:1,Left-footed shot,Robert Taylor
MLS ,10,4/28/24,Away,Inter Miami CF,New England Revolution,1:4,RW,67',1:2,Left-footed shot,Sergio Busquets
MLS ,11,5/5/24,Home,Inter Miami CF,New York Red Bulls,6:2,RW,50',2:1,Left-footed shot,Luis Suárez
MLS ,16,5/30/24,Home,Inter Miami CF,Atlanta United FC,1:3,RW,62',1:2,Left-footed shot,Sergio Busquets
MLS ,17,6/2/24,Home,Inter Miami CF,St. Louis CITY SC,3:3,RW,25',1:1,Left-footed shot,Jordi Alba
